Timestamp,1. What is your age group?  ,2. What is your country or nationality?,Column 4,3. What type of tourism are you most interested in?,4. What is the average duration of your trips? ,6. Who do you usually travel with? ,4. How often do you use smartphones for travel planning or bookings? ,5. Did you plan to visit authentic cultural or nature-based (eco-tourism) locations before your trip? ,6. What were your expectations before visiting Sri Lanka? ,7. What type of information was hard to find? ,"Q8. How would you rate your overall travel experience in Sri Lanka?
(If you haven't visited Sri Lanka yet, please rate your expectations or impressions based on what you have heard, read, or seen.)",9. What were the biggest challenges you faced during your trip? ,"10. Were eco (nature-based, environmentally-friendly places like wildlife parks, nature trails) or cultural destinations easy to access? ",14. How helpful were travel apps like TripAdvisor? ,11. What digital features do you think were missing or could be improved?,12. Do you use mobile apps for travel planning or navigation? ,"17. If yes, list up to 3 travel apps you use most often.",13. Would you use an app that provides personalized eco-cultural trip suggestions? ,14. How much do you trust AI-based systems for travel planning? ,15. What languages would you prefer your travel app to support? ,21. What accessibility or comfort issues did you face during your travel experience? ,16. Did you face any language or communication barriers? ,23. Was it difficult to find local guides or cultural events? ,17. Was eco-friendly transport or accommodation hard to find? ,18. Were destinations accessible to people with physical or mobility challenges? ,26. What would have made the trip easier or more enjoyable?,19. How important is sustainability in your decision-making when choosing destinations or activities? ,20. Did you engage with local artisans or vendors during your trip? ,"29. If not, what prevented you from engaging with local vendors? ",21. How useful would an AI assistant be for recommending places based on your mood or interests? ,31. How useful would real-time alerts for nearby cultural events be to you? ,22. Would a personalized itinerary planner be helpful during your trip? ,23. How likely are you to recommend such an AI-powered app to others?,24. Do you have any specific suggestions for improving eco/cultural tourism in Sri Lanka?
01/08/2025 16:33:16,18–25,Sinhalese,,"Eco, Adventure, Beach, Culture",1–3 days,Family,Always,Maybe,,Local food spots,4,Communication,Neutral,3,"Offline maps, Local guide suggestions",No,,Maybe,4,English,Service quality,No,Maybe,Maybe,Not Sure,,3,Yes,,3,3,3,3,
01/08/2025 16:36:55,18–25,Sri Lanka ,,Adventure,1–3 days,Family,Sometimes,Yes,Expectations are very high because country with a deep history ,Cultural performances,4,Navigation,Neutral,5,Offline maps,Yes,Only online map,Yes,3,English,Service quality,No,Maybe,Maybe,Not Sure,More enjoyable ,3,No,Our guider ,3,4,3,3,Safety of the country assets 
01/08/2025 17:08:34,18–25,India,,Adventure,1–3 days,Friends,Rarely,Yes,I didn't visit till now but in future defently i will visit Sri Lanka in my life,"Resorts, Budget hotels",0,Pricing,Neutral,5,Local guide suggestions,Yes,"Google map, bookmytrip",No,4,English,Service quality,No,Yes,Yes,Yes,My Friends ,4,Yes,,4,3,4,4,Nothing to say till i visit srilanka 
01/08/2025 17:13:54,18–25,Sri Lankan ,,Eco,1–3 days,Family,Sometimes,Yes,To explore nature ,"Resorts, Budget hotels",5,Pricing,Strongly agree,5,Local guide suggestions,Maybe,,Yes,4,English,Crowding,Yes,Maybe,Yes,Yes,Maps,5,Yes,,4,5,5,4,No
01/08/2025 18:22:08,18–25,Sri Lankan ,,"Eco, Adventure, Beach, Culture",4–7 days,Solo,Always,Yes,"Location 
Correct location 
Safety 
Accommodation ",Transportation Options,3,Communication,Neutral,1,"Real-time translation, Local guide suggestions, Budget planner",Maybe,,,1,English,Crowding,Yes,Maybe,Yes,,,2,No,,1,3,2,1,
01/08/2025 18:22:07,18–25,Indian ,,"Eco, Beach",8–14 days,Friends,Often,Maybe,Nature and island free,Transportation Options,2,Navigation,Agree,2,Good transportation and online payment like gpay were need to improve ,No,,Yes,3,Tamil,Signage,No,No,No,No,,3,Yes,,,,,,
01/08/2025 18:25:33,18–25,Srilankan Tamil ,,Adventure,4–7 days,Friends,Always,Maybe,Beautiful place ,"Resorts, Budget hotels",5,Communication,Agree,3,Offline maps,Yes,Google map,Yes,3,Tamil,Physical access,Yes,Maybe,Maybe,Not Sure,Dg hg,3,No,Ggshs,3,3,3,3,No
01/08/2025 18:33:53,18–25,Sri lankan,,Beach,1–3 days,Family,Often,Yes,,Eco-Certified Accomodations,4,Pricing,Neutral,2,"Offline maps, Local guide suggestions, Emergency support access",Maybe,,Yes,4,English,Service quality,No,Maybe,Maybe,Not Sure,,5,Yes,,5,5,5,4,
01/08/2025 19:45:12,18–25,Srilankan,,"Eco, Adventure, Culture",8–14 days,Friends,Often,Maybe,Beautiful nature ,Eco-Certified Accomodations,5,Pricing,Strongly agree,4,"Real-time translation, Offline maps, Local guide suggestions, Eco-friendly transport info, Live cultural alerts, Emergency support access, Budget planner",Yes,"Google maps, book.lk, uber",Yes,3,English,Physical access,Maybe,Maybe,Maybe,Not Sure,Friendly guide,4,Yes,,4,4,4,4,No
01/08/2025 21:59:40,18–25,Sri Lankan ,,Adventure,1–3 days,Friends,Rarely,Yes,,Eco-Certified Accomodations,4,Communication,Neutral,3,"Real-time translation, Offline maps, Emergency support access",Yes,,No,3,Tamil,Signage,Maybe,Maybe,Maybe,Not Sure,,3,Yes,,3,3,3,3,
02/08/2025 05:12:19,18–25,Sri Lanka ,,Culture,4–7 days,Friends,Often,Yes,,Transportation Options,3,Navigation,Agree,3,Eco-friendly transport info,Yes,"Pickme, Kamgaroo cabs",Yes,2,English,Service quality,Yes,Yes,Maybe,Not Sure,Stay at home,3,Yes,,3,3,3,3,
02/08/2025 08:57:37,18–25,Srilanka,,Adventure,1–3 days,Family,Sometimes,Yes,No idea,Event Schedules,5,Access,Agree,5,Local guide suggestions,Maybe,,No,4,English,Crowding,No,Yes,Maybe,Not Sure,,5,Yes,,5,5,5,5,
02/08/2025 14:09:53,18–25,sri lankan,,Culture,1–3 days,Solo,Sometimes,No,,"Eco-Certified Accomodations, Local food spots, Nature trails, Medical services",5,Safety,Agree,4,"Local guide suggestions, Eco-friendly transport info, Live cultural alerts",Maybe,no,No,4,Tamil,Signage,No,Yes,Yes,No,,2,Yes,,3,3,2,4,no 
02/08/2025 21:56:39,18–25,sri lanka,,Adventure,4–7 days,Friends,Rarely,No,,"Resorts, Budget hotels",4,Access,Neutral,4,"Offline maps, Local guide suggestions, Eco-friendly transport info, Budget planner",Maybe,,Maybe,3,Sinhala,,,,,,,,,,,,,,
02/08/2025 22:19:44,18–25,Sri Lanka,,"Beach, Culture",1–3 days,Family,Sometimes,Maybe,,"Eco-Certified Accomodations, Medical services",3,Pricing,Neutral,4,"Offline maps, Eco-friendly transport info, Live cultural alerts",Yes,"Google maps,  pickme , uber",Maybe,3,English,Crowding,Yes,Yes,Yes,Not Sure,,3,Yes,,3,3,3,3,"Promote sustainable, community-led experiences that protect nature and celebrate Sri Lanka's rich cultural heritage.

"
02/08/2025 22:21:31,18–25,Sri Lanka,,Adventure,4–7 days,Friends,Often,Yes,,"Transportation Options, Event Schedules, Local food spots, Cultural performances",5,Communication,Neutral,3,"Real-time translation, Offline maps, Live cultural alerts, Emergency support access",Maybe,,No,3,English,Service quality,Maybe,Maybe,Maybe,Yes,,4,Yes,,4,4,4,4,
02/08/2025 22:21:54,18–25,Sri Lanka,,Adventure,1–3 days,Friends,Always,Yes,Culture ,"Resorts, Budget hotels",5,Safety,Strongly agree,5,Eco-friendly transport info,Yes,"Google maps, pickme, uber",Maybe,3,English,Service quality,Yes,Maybe,Yes,Not Sure,Best plan ,4,Yes,,3,5,3,4,Real time translate
02/08/2025 22:22:00,18–25,Sri Lankan Tamil ,,Culture,1–3 days,Friends,Rarely,No,"Affordable travel – Imagining budget-friendly transport, accommodation, and experiences","Event Schedules, Cultural performances",5,Pricing,Agree,4,Budget planner,No,,No,3,English,Crowding,Maybe,Yes,Yes,Not Sure,"Having better transport arrangements, internet access, knowing a few local phrases, and packing light. Also, booking tickets in advance and understanding local customs would have helped enjoy the trip more.",4,Yes,,5,4,3,4,"Protect natural areas, train local guides, promote eco-friendly hotels, support local artisans, and give tourists more cultural experiences like village visits and traditional cooking.
"
02/08/2025 22:24:24,26–35,Srilanka,,"Eco, Adventure",1–3 days,Friends,Sometimes,Yes,Nothing ,"Resorts, Budget hotels",5,Communication,Agree,3,Emergency support access,Maybe,Google map,,,English,Service quality,Yes,Maybe,No,No,Map,4,Yes,,5,5,5,4,No
02/08/2025 22:25:34,26–35,Srilanka ,,Eco,1–3 days,Friends,Always,Yes,Nothing special ,"Nature trails, Resorts, Budget hotels",4,Pricing,Strongly agree,5,"Offline maps, Budget planner",No,,Yes,4,English,Service quality,No,No,Yes,Not Sure,,5,Yes,,5,5,5,5,
02/08/2025 22:29:12,18–25,Sri Lanka,,"Adventure, Beach",1–3 days,Friends,Always,Maybe,Good ,"Event Schedules, Eco-Certified Accomodations, Nature trails, Resorts, Budget hotels",5,Pricing,Neutral,5,"Offline maps, Emergency support access, Budget planner",Yes,"Trip Advisor, google maps, booking.com ",No,3,English,Signage,Maybe,Maybe,No,No,Transport,5,Yes,,4,4,3,3,No
02/08/2025 22:32:02,18–25,Sri Lanka,,"Eco, Adventure, Beach, Culture",8–14 days,Family,Always,Yes,"I expected to experience natural beauty, cultural heritage sites, and peaceful environments. I also hoped for well-maintained eco-tourism locations and friendly interactions with local communities.","Transportation Options, Event Schedules, Eco-Certified Accomodations, Nature trails, Cultural performances",4,Access,Neutral,5,"Real-time translation, Offline maps, Local guide suggestions, Eco-friendly transport info, Live cultural alerts, Emergency support access, Budget planner, Cultural Etiquette Tips: Quick-read cards for greetings, tipping, and manners",Yes,"Google Maps, Booking.com, TripAdvisor ",No,4,English,Service quality,Yes,Maybe,Maybe,Not Sure,Better offline maps and clear accessibility information.,5,Yes,,5,5,5,5,Set up recycling and reduce plastic use at places tourists visit.
02/08/2025 22:32:17,18–25,Srilanka,,"Eco, Adventure, Beach, Culture",1–3 days,Friends,Sometimes,Yes,"Rich Cultural Heritage,Spicy-Flavorful Food,Warm Hospitality and tropical beuty ","Transportation Options, Event Schedules, Resorts, Budget hotels, Medical services",4,Pricing,Agree,1,"Real-time translation, Offline maps, Local guide suggestions, Live cultural alerts, Emergency support access, Budget planner",Yes,"Google map, booking .com",Yes,4,Sinhala,Service quality,Maybe,Maybe,Maybe,Not Sure,"Local Guide or Audio Guide Apps,Knowledge of Local Customs and Phrases",5,Yes,,5,4,4,5,
02/08/2025 22:50:58,26–35,Sri Lanka,,"Eco, Adventure, Beach, Culture",1–3 days,Friends,Never,Yes,,"Transportation Options, Event Schedules, Eco-Certified Accomodations, Local food spots, Nature trails, Resorts, Budget hotels, Medical services, Cultural performances",2,Access,,,,,,,,,,,,,,,,,,,,,,
03/08/2025 07:10:19,26–35,Sri Lankan,,"Eco, Adventure, Beach, Culture",4–7 days,Friends,Sometimes,Yes,"Nothing much, just travel ever where in colder and mountains places ",Nature trails,4,Pricing,Strongly agree,4,"Offline maps, Local guide suggestions, Emergency support access, Budget planner",Maybe,,Yes,3,Tamil,Crowding,Maybe,Yes,No,,,4,Yes,,5,3,5,5,
03/08/2025 10:42:02,18–25,Srilanka,,Adventure,4–7 days,Solo,Often,Maybe,"Spicy food, cultural heritage and lush nature","Resorts, Budget hotels",5,Pricing,Neutral,3,Offline maps,Yes,"Google map, Google and Chat GPT",Yes,2,English,Crowding,No,Maybe,Maybe,No,Nature things and foods,2,Yes,Using smart phones ,2,2,2,3,No
03/08/2025 22:42:43,18–25,Srilanka ,,"Adventure, Culture",1–3 days,Friends,Sometimes,Yes,,"Resorts, Budget hotels",4,Pricing,Neutral,4,Offline maps,Yes,"Uber, pick me, Kangaroo cabs",Maybe,3,Tamil,Crowding,No,Maybe,Maybe,Not Sure,"Pre- planning support,trained staff and assistant,clear information ",4,Yes," Improving accessibility, clear communication, and visitor-friendly facilities would encourage more travelers—especially those with mobility challenges—to interact with and support local vendors.",4,4,4,4,"
Strengthening sustainability efforts, ensuring accessibility, and involving local communities will make Sri Lanka’s eco and cultural tourism more inclusive, authentic, and environmentally responsible.

"
04/08/2025 12:41:38,18–25,Sri Lankan,,"Eco, Beach, Culture",1–3 days,Family,Often,Yes,,Event Schedules,4,Navigation,Agree,4,"Offline maps, Live cultural alerts, Emergency support access",No,,Maybe,4,Sinhala,Crowding,Yes,Maybe,Maybe,Not Sure,,5,Yes,,5,5,5,5,
04/08/2025 12:49:19,18–25,Srilankan,,Adventure,1–3 days,Family,Never,Yes,Place ,Local food spots,3,Safety,Agree,1,Budget planner,Maybe,"Pick me, maps, uber",Yes,2,English,Service quality,Maybe,Maybe,Yes,Not Sure,Make plans ,3,Yes,,2,3,3,3,
04/08/2025 13:21:26,18–25,Sri Lanka,,"Adventure, Beach, Culture",1–3 days,Friends,Sometimes,Yes,"Up Country , South Side , Beach Side","Transportation Options, Event Schedules, Eco-Certified Accomodations, Resorts, Budget hotels",4,Navigation,Agree,3,"Real-time translation, Offline maps, Local guide suggestions, Eco-friendly transport info, Live cultural alerts, Emergency support access, Budget planner",Maybe,,No,3,English,Service quality,Maybe,Maybe,Yes,Yes,More enjoyable,4,Yes,,3,3,4,4,"No
"
04/08/2025 17:10:38,18–25,Srilankan ,,Adventure,4–7 days,Friends,Sometimes,Yes,Nice nature and beautiful place ,Eco-Certified Accomodations,5,Navigation,Neutral,4,Offline maps,Maybe,,Yes,5,English,Physical access,No,No,Maybe,Not Sure,,4,No,,4,5,4,5,Maybe no 
04/08/2025 20:10:32,18–25,Sri lankan,,"Eco, Adventure, Beach",4–7 days,Solo,Rarely,Maybe,Nothing,"Resorts, Budget hotels, Medical services",5,Safety,Agree,5,,Maybe,,Yes,1,English,Crowding,No,Yes,No,No,,5,Yes,,1,1,1,1,
04/08/2025 23:31:20,26–35,Germany,,"Eco, Beach, Culture",15+ days,Couple,Always,Yes,"Nothing special, it was like ""just go and try""","Transportation Options, PickMe did not work very well and sometimes it was hard to find an alternative to a private taxi",5,Navigation,Agree,,Eco-friendly transport info,Yes,"Google Maps, booking.com",Yes,4,German is the easiest way of course but Englisch would be totally fine,Crowding,Yes,No,Maybe,No,,2,Yes,,4,4,4,4,"No, it was a really great experience and we are coming back this year :)"
05/08/2025 12:40:30,36–45,Brazil,,"Eco, Adventure, Culture",,,Always,Yes,More enjoyable and memorable visit,"Transportation Options, Event Schedules, Eco-Certified Accomodations, Resorts, Budget hotels, Medical services",0,Navigation,Agree,,"Real-time translation, Offline maps, Eco-friendly transport info, Emergency support access",Yes,,Yes,2,English,,Yes,,Yes,No,,2,Yes,,1,,2,3,
05/08/2025 13:53:28,18–25,Bangladesh ,,"Eco, Adventure, Beach",,,Sometimes,Yes,Memories to collect,"Transportation Options, Eco-Certified Accomodations, Resorts, Budget hotels",4,Navigation,Agree,,"Real-time translation, Live cultural alerts",Yes,,Yes,3,English,,Yes,,Yes,Yes,,5,Yes,,4,,4,4,
05/08/2025 16:29:21,18–25,Sri Lanka ,,"Eco, Beach",,,Always,Maybe,,"Transportation Options, Resorts, Budget hotels",5,Navigation,Agree,,"Real-time translation, Offline maps, Eco-friendly transport info, Budget planner",Yes,,No,5,Sinhala,,Yes,,Maybe,Yes,,4,No,,5,,5,5,
05/08/2025 18:57:26,18–25,Srilanka,,"Beach, Culture",,,Always,Yes,Want all facilities,"Transportation Options, Eco-Certified Accomodations, Local food spots, Resorts, Budget hotels, Medical services, Cultural performances",5,Pricing,Strongly agree,,"Offline maps, Local guide suggestions, Eco-friendly transport info, Emergency support access",Yes,,Maybe,3,English,,Maybe,,No,Not Sure,,5,Yes,,4,,4,4,
05/08/2025 19:19:49,18–25,Sri Lankan ,,Adventure,,,Sometimes,Maybe,"
I expected stunning nature, rich culture, spicy food, and warm smiles","Resorts, Budget hotels",5,Communication,Strongly agree,,Internet Connections Must be in everywhere ,Yes,,No,3,English,,No,,Yes,No,,3,Yes,,3,,3,3,"Make tourism better by protecting nature, sharing culture, and helping local people"
05/08/2025 21:01:21,26–35,Srilanka ,,Culture,,,Rarely,Yes,Would be pleasant ,"Nature trails, Cultural performances, ",5,Communication,Neutral,,Local guide suggestions,Yes,,Yes,4,English,,Yes,,Yes,Yes,,4,Yes,,2,,4,3,No
05/08/2025 21:06:23,18–25,India,,Beach,,,Always,Yes,To visit traditional places,Eco-Certified Accomodations,3,Access,Neutral,,Eco-friendly transport info,Yes,,Yes,3,Tamil,,Yes,,Yes,Yes,,3,Yes,,3,,3,3,
05/08/2025 23:49:20,26–35,Srilankan ,,Adventure,,,Often,Yes,"Beauty of Nature , friendly environment, tradition of srilanka ","Event Schedules, Eco-Certified Accomodations",5,Pricing,Strongly agree,,"Offline maps, Emergency support access, Budget planner",Yes,,Yes,3,English,,Yes,,Yes,Yes,,3,Yes,,4,,5,5,Nooo
06/08/2025 07:16:41,26–35,Sri lanka,,Culture,,,Sometimes,Yes,Ella,Cultural performances,3,Pricing,Agree,,Real-time translation,No,,Yes,4,English,,Yes,,No,No,,3,Yes,,1,,3,3,Yes
06/08/2025 09:19:37,18–25,Sri Lanka ,,Beach,,,Rarely,Yes,Seeing the beauty of srilanka,"Resorts, Budget hotels",3,Communication,Neutral,,Offline maps,Maybe,,Maybe,2,English,,Maybe,,Maybe,Yes,,5,Yes,,4,,3,4,No idea
07/08/2025 14:48:14,18–25,Srilankan,,Beach,,,Always,Yes,Nothing ,Event Schedules,4,Safety,Neutral,,Local guide suggestions,Yes,,Yes,3,Tamil,,No,,Yes,Yes,,3,Yes,,3,,3,2,Nothing 
08/08/2025 23:39:29,18–25,Sinhala ,,Beach,,,Often,Yes,,Cultural performances,3,Navigation,Agree,,Emergency support access,Yes,,Yes,3,English,,Maybe,,No,Not Sure,,2,Yes,,2,,2,2,
12/08/2025 12:57:35,18–25,Sri lanka,,Beach,,,Sometimes,Yes,,Eco-Certified Accomodations,3,Access,Agree,,Eco-friendly transport info,Yes,,Yes,3,Sinhala,,Yes,,Yes,Yes,,4,No,,3,,3,3,
16/08/2025 13:12:23,26–35,Srilanka ,,Beach,,,Sometimes,No,Transport cost is low,Transportation Options,5,Communication,Strongly agree,,Real-time translation,Yes,,No,3,English,,Maybe,,No,Yes,,3,No,,4,,2,4,No
18/08/2025 22:35:37,26–35,sri lanka / sinhala ,,"Eco, Adventure, Beach",,,Always,Yes,,"Transportation Options, Eco-Certified Accomodations, Local food spots, Resorts, Budget hotels",4,Pricing,Neutral,,"Offline maps, Live cultural alerts, Emergency support access, Budget planner",Yes,,Yes,3,English,,Yes,,Yes,Not Sure,,4,Yes,,5,,5,4,You can get help for this from those who come annually to get information. I will help you in any way I can (badre)
20/08/2025 01:21:42,18–25,Sri Lankan ,,"Adventure, Beach",,,Always,Yes,Get good memories ,"Eco-Certified Accomodations, Local food spots, Resorts, Budget hotels",4,Navigation,Agree,,"Offline maps, Eco-friendly transport info, Budget planner",Yes,,Yes,5,English,,No,,Yes,Yes,,3,Yes,,3,,3,3,No
23/08/2025 12:33:57,36–45,Japan,,"Eco, Adventure, Culture",,,Sometimes,Yes,,"Event Schedules, Local food spots, Nature trails, Resorts, Budget hotels",3,Access,Agree,,"Real-time translation, Local guide suggestions, Eco-friendly transport info, Live cultural alerts, Budget planner",Yes,,Yes,3,English,,Yes,,Yes,Yes,,3,Yes,,3,,4,2,
29/08/2025 13:14:15,18–25,Sri Lanka,,Adventure,,,Sometimes,Maybe,,"Resorts, Budget hotels",5,Safety,Strongly agree,,Emergency support access,Yes,,Yes,4,English,,Yes,,Maybe,Yes,,5,Yes,,5,,5,5,
29/08/2025 21:51:11,18–25,srilanakn,,Adventure,,,Always,No,kandy,"Transportation Options, Nature trails, Resorts, Budget hotels, Medical services",1,Navigation,Agree,,"Emergency support access, ",No,,No,4,Tamil,,Maybe,,No,Not Sure,,4,Yes,,4,,3,2,
03/09/2025 15:01:27,26–35,Australia ,,"Adventure, Beach",,,Sometimes,Yes,"I expected to see a beautiful country with rich culture, friendly people, and many historical and natural attractions. I was also looking forward to experiencing traditional food, festivals, and the warm climate.","Event Schedules, Resorts, Budget hotels, Medical services",5,Pricing,Strongly agree,,Emergency support access,Yes,,Yes,5,Tamil,,No,,No,Yes,,5,Yes,,5,,5,5,
03/09/2025 15:17:41,18–25,Sri Lankan ,,"Beach, Culture",,,Sometimes,Maybe,"Before visiting Sri Lanka, I expected it to feel a bit like my own village, with friendly people, traditions, and a strong sense of community. I also thought the food would be similar to my culture’s food — full of spices, rice, and flavors that remind me of home.”","Transportation Options, Event Schedules, Resorts, Budget hotels",4,Pricing,Agree,,"Offline maps, Eco-friendly transport info, Emergency support access",No,,Yes,4,English,,Maybe,,Maybe,Not Sure,,4,No,,4,,4,4,Yes there should more Tamil friendly people and they should understand English 
03/09/2025 16:53:33,26–35,Français ,,"Adventure, ",,,Sometimes,No,,"Resorts, Budget hotels, ",5,Pricing,Agree,,"Emergency support access, ",Yes,,Yes,4,English,,No,,No,No,,4,No,,4,,4,5,
06/09/2025 16:42:01,26–35,Australia,,"Adventure, Beach, Culture",,,Often,Yes,India ,"Transportation Options, Event Schedules, Resorts, Budget hotels, Medical services, Cultural performances",5,Pricing,Strongly agree,,"Live cultural alerts, Emergency support access, Budget planner",Maybe,,Yes,5,English,,Maybe,,Maybe,Not Sure,,3,No,,5,,5,5,No
27/09/2025 23:56:58,26–35,Sri Lanka ,,"Eco, Beach, Culture",,,Always,Yes,,"Transportation Options, Local food spots, Resorts, Budget hotels",5,Pricing,Strongly agree,,"Offline maps, Local guide suggestions, Eco-friendly transport info, Emergency support access",Yes,,Yes,5,English,,No,,Yes,Yes,,5,Yes,,5,,5,5,
18/11/2025 12:28:26,26–35,Germany ,,Adventure,,,Rarely,No,Wonder if Asia,"Transportation Options, Event Schedules, Eco-Certified Accomodations, Local food spots, Nature trails, Resorts, Budget hotels, Medical services, Cultural performances",2,Navigation,Agree,,"Local guide suggestions, Eco-friendly transport info, Live cultural alerts",Yes,,Yes,3,English,,No,,Yes,Yes,,3,Yes,,3,,3,3,Using social media for promotion 
21/11/2025 12:41:12,26–35,Europe,,Adventure,,,Rarely,Yes,Food,Eco-Certified Accomodations,0,Access,Strongly agree,,Local guide suggestions,Yes,,Yes,1,English,,Yes,,No,No,,1,Yes,,1,,1,1,Give the power
21/11/2025 12:42:29,26–35,American,,Beach,,,Often,No,Safety,Eco-Certified Accomodations,2,Safety,Neutral,,Local guide suggestions,Maybe,,Maybe,5,German,,No,,No,No,,1,No,,2,,3,5,No
21/11/2025 12:43:38,46–60,Australian,,Beach,,,Rarely,Yes,Women Safety,Eco-Certified Accomodations,3,Communication,Strongly agree,,Local guide suggestions,Yes,,Yes,2,English,,Yes,,No,,,3,Yes,,3,,3,3,"No 
"
21/11/2025 12:45:24,36–45,India,,"Eco, Adventure, Beach",,,Always,Yes,,"Transportation Options, Eco-Certified Accomodations, Nature trails, Resorts, Budget hotels, Medical services",3,Safety,Agree,,"Real-time translation, Offline maps, Local guide suggestions, Eco-friendly transport info, Live cultural alerts, Emergency support access",Yes,,Yes,3,Tamil,,Yes,,Yes,Yes,,3,Yes,,3,,3,2,
