place_name,District,Timespan,Review,category,eco_score,cultural_score,vendor_count,local_empowerment_index,accessibility_score,crowd_level,danger_level,latitude,longitude
attidiya bird sanctuary,colombo,2 years ago,visited give bird found worried since want eating kind taking higher,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,beautiful place adjoins well maintained track surrounding lake love visiting place relax take photos different kinds birds taking pictures landscape beautiful,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,one bird sanctuaries within colombo quite worth visit early morning get see large number birds,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,bird hatching busy walkway,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,good sanctuary sri brick development carried recently biodiversity reduced department wildlife conservation paid much attention protect resource,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,one suitable place take fresh breath colombo need break go calm love place,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,place spend evening foods tasty little bit expensive,,,,,,,,,,
attidiya bird sanctuary,colombo,8 months ago,visit eager visit,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,peaceful place visit evenings one see lots birds especially evening times good place photography,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,walk three round result steps celery loss hours,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,pretty nice place lucky might able see salt water cross well,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,beautiful area people dumped garbage made area many birds butterflies small around,,,,,,,,,,
attidiya bird sanctuary,colombo,9 months ago,place see crocodiles birds,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,great place becoming lovers park lovers seem limits behavior,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,walk around walking path cycling,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,great splendid time watching birds sanctuary place clean nice,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,kind calm peaceful place specially good mind relaxation also beautiful place,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,place observe birds around world specially winter good studying birds,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,lot space facilities food parking spaces bicycle natural walking path,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,cool family outing good street foods also available near,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,nice place hangout evening rent bicycle ride around paddy field nice scenarios,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,visitors come place polythene plastic wastes left everywhere urge everyone responsibility keep places clean,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,city place touch nature interested bird watching taking photos willing get shoes mud good place,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,place path restaurants also available nice place relax evenings,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,really good place like rest beautiful scenery,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,nice location bird butterfly watching,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,week days much crowd crowded perfect place quick bites,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,beautiful views make use lake allowing boat rides,,,,,,,,,,
attidiya bird sanctuary,colombo,5 days ago,good,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,nice place evening walk specially weekday crowds,,,,,,,,,,
attidiya bird sanctuary,colombo,a month ago,good,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,hardly animals small part left happy,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good place easy access food court parking available,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,great place nice view bring relax,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,good place spend time friend family members,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,increasing pollution made less sanctuary birds plan go bird watching prepared disappointed,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,great place visit watch lot birds place,,,,,,,,,,
attidiya bird sanctuary,colombo,a month ago,supper,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,see alligator around colombo best place proper entrance,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,sensitive conservation area colombo love nice place walk,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,water birds mostly place make visit,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,bird park constructions become good place relax mind,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,place track bicycle riding walking,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,track cycling track close walk bird songs,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,good place spend  spare time close temple,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good join path cycling path area beautiful,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,great place unwind nature,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,beautiful place many reptiles place,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,best surprised never bird thereof,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,buy cocoons food fish food love place clean nicely kept,,,,,,,,,,
attidiya bird sanctuary,colombo,11 months ago,nice place natural birds,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,beautiful placenta many bird good,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,nice place spend time track cycling track,,,,,,,,,,
attidiya bird sanctuary,colombo,2 years ago,location ecology developed go become full fledged sanctuary,,,,,,,,,,
attidiya bird sanctuary,colombo,8 years ago,best place riding much maintenance current government,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,nice place take little rest long driving,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,used sit visit temple noon place hot,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,restricted area went nothing watch rumors says good place girls,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,lovely spot bird watching specially water migrants,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,nice natural place good place watch birds feel natural,,,,,,,,,,
attidiya bird sanctuary,colombo,a year ago,good place cycling walking,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,place cycling food partner,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,animal hospital bring animals place take,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,great place drop bird u might,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,beautiful place watch migrating birds,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,lovely,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,gorgeous place many varieties birds cross,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,really nice place visit,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,good place may got restaurant,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,relaxing walking path saw lots visiting birds,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,wild life sanctuary animal hospital provide treat animals,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,badly polluted due human activities yet trying keep well constructions happened,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good bicycle riding low choice food,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,awesome place visit colombo witness wide variety birds,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,place big biodiversity ideal location bird watching,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,nice place watch photographs kinds birds,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good place cycling crowded,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,nature lovers location watch birds good place discover nature beginners,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good place hang friends family,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,cool place outing different types food available,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,much birds watch place relax mind within colombo area,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,nice lots birds urbanized,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,great place bicycle ride,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,nice place u like nature,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,beautiful clean natural looking area,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,nice calm place crowded,,,,,,,,,,
attidiya bird sanctuary,colombo,8 years ago,nice place rent bicycle ride along lake side,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,bird sanctuary closed place doesn't go allow anyone go inside,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good place relax food cycling,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,clam love place,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,best place relax recreation food,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,crowded place next temple popular among locals,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good walking well birding,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,lovely place near colonel,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,could find bird sanctuary place changed you animal hospital please update records,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good place bicycle riding,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,great place stroll evening,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,good place birds photography colombo cleaned place,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,birds worst place visit u need watch birds go,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,nice place stay family friends,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,good natural place green scenery,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good facility bad smell areas close lake,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,used go walk walking track,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,place really good relaxing,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,people destroying place new construction garbage dumping got need protect places people destroy good,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,nice place bicycle ride,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,beautiful,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,good tasty foods big offers customers,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,safe place,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good place bird watching mainly flamingos starts,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,sad see lovely place like turned garbage dump,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,beautiful visiting place special birds,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good place visit,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,calm quite area surrounded busy towns,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,good place joking cycling walking,,,,,,,,,,
attidiya bird sanctuary,colombo,2 years ago,thanks much help support,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,get nice colors hand bags,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good place Waterland birds,,,,,,,,,,
attidiya bird sanctuary,colombo,2 years ago,foods,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good place relax n cycle,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,good place decent workout,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,one best places wild photograph,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,calm nice place lots views,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,great place buy plants food items,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,good place person loves nature,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good lot dogs,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good used years back get birds,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,one protective area general public less sad,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,one best walking places,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,nice place visit quite calm,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,must visit place well arranged,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,place good calm walk,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,place protect future generations sadly polluting,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good beautiful care place,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,clean calm place beautiful,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,great place morning walk,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,greatest customer service oriented staff,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,superb place quite walk,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,beautiful people start spoiling place,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,best place colombo spend evening,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,nice place walk cycling,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,nice place walk around,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,really nice place evenings,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,small bird sanctuary located area,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,rare birds lot pollution around place,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,perfect cool place watch birds watery background,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,good place peaceful walk,,,,,,,,,,
attidiya bird sanctuary,colombo,7 years ago,naturalist place slowly losing government needs take precautions,,,,,,,,,,
beddagana wetland park,colombo,a month ago,park photographers beautiful scenes places take captures network walking trails takes deep lush areas observe resident migratory bird flowers,,,,,,,,,,
beddagana wetland park,colombo,a month ago,beautiful place get beautiful captures like natural vibes must visit beautiful views better place calm good wedding shoot preschool,,,,,,,,,,
beddagana wetland park,colombo,2 days ago,place calm beautiful really visiting little ticket price low good washroom facilities,,,,,,,,,,
beddagana wetland park,colombo,3 months ago,went friends ticket prices low around peaceful best visit morning evening bird lovers paid washrooms available paid parking available,,,,,,,,,,
beddagana wetland park,colombo,a month ago,beautiful park large big diversity great natural park busy capital hope 'll put guides park though overall beautiful location everyone near area visit least,,,,,,,,,,
beddagana wetland park,colombo,2 months ago,better place calm feel like walking little best place lovers spend time tickets people sit bridges feel partner,,,,,,,,,,
beddagana wetland park,colombo,a week ago,super natural park good photo shoot see birds get ticket vehicle parking ticket also,,,,,,,,,,
beddagana wetland park,colombo,3 months ago,nice place colombo googly map takes right location ample parking sign boards well fixed easily miss floating deck plus ask directions entrance office clearly helpful better go morning evening,,,,,,,,,,
beddagana wetland park,colombo,a month ago,great place one would believe little far busy hectic town famous among people families lovers,,,,,,,,,,
beddagana wetland park,colombo,a month ago,photographers see new place new kind free couples strange place single person around colombo think come,,,,,,,,,,
beddagana wetland park,colombo,a month ago,park calm quite park colombo area good place watch birds butterflies small animals well forget rainy seasons since difficult find inside park difficult walk trails rainy days since roads get muddy,,,,,,,,,,
beddagana wetland park,colombo,4 months ago,place quit busy atmosphere colombo area even think colombo enter place photographer especially wildlife visit many birds animals see,,,,,,,,,,
beddagana wetland park,colombo,2 weeks ago,park great usual guess scam collected tickets exit normally ripped ticket half gave one piece customer taking whole ticket asked,,,,,,,,,,
beddagana wetland park,colombo,5 months ago,place gem recently discovered friends also photographers great place birding dragonflies soak views sure,,,,,,,,,,
beddagana wetland park,colombo,a month ago,visited park family despite popular spot couples also great nature trail colombo suburbs parking costs entry fee per person however maintenance due,,,,,,,,,,
beddagana wetland park,colombo,3 months ago,beautiful place nature lovers gem suburbs colombo city ticket price paid parking paid facilities available opens morning evening,,,,,,,,,,
beddagana wetland park,colombo,4 months ago,nice park visit city number bird butterfly varieties cam found also number fish varieties including fish,,,,,,,,,,
beddagana wetland park,colombo,2 months ago,park located vibrant city colombo captivating escape urban life harmoniously meets nature enchanting oasis invites step world lush greenery water,,,,,,,,,,
beddagana wetland park,colombo,2 months ago,really lovely careful place  made without hearing business town observe wildlife natural ecosystem sri lanka,,,,,,,,,,
beddagana wetland park,colombo,4 months ago,one beautiful places country must visit place come colombo nice calm place relax busy streets problems better bring something eat drink,,,,,,,,,,
beddagana wetland park,colombo,2 months ago,place good shoot need pay entrance need take permission separately buy separate tickets,,,,,,,,,,
beddagana wetland park,colombo,4 months ago,park hidden gem nestled heart sri lanka enchanting oasis nature lovers sanctuary diverse flora parks trails provide escape,,,,,,,,,,
beddagana wetland park,colombo,5 months ago,best place reduce situated colombo city area sri peaceful calm full natural vehicle parking area small,,,,,,,,,,
beddagana wetland park,colombo,2 weeks ago,park offers connect nature whether solo traveler family looking educational outing couple seeking escape park something offer everyone,,,,,,,,,,
beddagana wetland park,colombo,5 months ago,another gift nature definitely visit place clam peaceful place different kind animals nice location photographs entrance ticket cost per person,,,,,,,,,,
beddagana wetland park,colombo,5 months ago,explore beauty enchanting destination perfect creating lasting memories loved parking available per hour upon arrival obtain entry ticket,,,,,,,,,,
beddagana wetland park,colombo,5 months ago,great place connect nature views downside guy parking lot tries scam charging,,,,,,,,,,
beddagana wetland park,colombo,3 months ago,simply love place photography addicted person visit place nature,,,,,,,,,,
beddagana wetland park,colombo,8 months ago,better nature look compared majority walking path trees less open spaces limited area see birds going bird watching go early morning increase,,,,,,,,,,
beddagana wetland park,colombo,3 months ago,peacefully calm place visit nice walking paths birds wild little animals beautiful place beautiful calm best mind relaxing,,,,,,,,,,
beddagana wetland park,colombo,9 months ago,place spend nature lover seasonal able beauty nature tickets affordable place able see different,,,,,,,,,,
beddagana wetland park,colombo,5 months ago,pleasant place visit nature lovers relish chirps birds peaceful atmosphere,,,,,,,,,,
beddagana wetland park,colombo,3 months ago,place relax nature small trail built top small swamp sight see nature urban cities meet usually crowded week days,,,,,,,,,,
beddagana wetland park,colombo,5 months ago,beautiful place colombo sri lanka bird watchers photographers visit place beauty,,,,,,,,,,
beddagana wetland park,colombo,3 months ago,beautiful place go see birds usually see lovers walking path made wood logs beams path built lot parts,,,,,,,,,,
beddagana wetland park,colombo,2 months ago,great place spend quality time nature great place children visit get see,,,,,,,,,,
beddagana wetland park,colombo,6 months ago,really nice place lots different kinds see definitely worth visit could crowded sometimes,,,,,,,,,,
beddagana wetland park,colombo,a year ago,beautiful place colombo city area calm nice place walk naturally built nature place charged ticket place pretty much worthy amount pay facilities available parking washrooms et,,,,,,,,,,
beddagana wetland park,colombo,10 months ago,region good biodiversity place relax mind getting clean good area close colombo city see many animals birds fish beauty nature unexpected experience,,,,,,,,,,
beddagana wetland park,colombo,3 months ago,calm way see ruins motte parking facilities available visitors specific things watch calmness around,,,,,,,,,,
beddagana wetland park,colombo,10 months ago,place best place spend time nature colombo city limit big car parking available lots animals birds reptiles living area crowded best place,,,,,,,,,,
beddagana wetland park,colombo,6 months ago,good place calm well maintained good taking pictures best visit early morning,,,,,,,,,,
beddagana wetland park,colombo,8 months ago,park beautiful place perfect peaceful day easily park car buy affordable ticket natural scenery food available park good idea bring overall great spot relax beauty,,,,,,,,,,
beddagana wetland park,colombo,a year ago,calm beautiful place located right middle colombo nice place visit family especially evening time wooden path goes along swamps lake beautiful viewpoints,,,,,,,,,,
beddagana wetland park,colombo,6 days ago,one best kept secrets visit park wild within colombo city limits,,,,,,,,,,
beddagana wetland park,colombo,4 months ago,park hidden gem offers captivating experience nature ecosystem provides escape bustling city life parks lush greenery diverse,,,,,,,,,,
beddagana wetland park,colombo,4 months ago,best place travel sri lanka recommend place anyone really good experience,,,,,,,,,,
beddagana wetland park,colombo,a year ago,plan visit better go morning much hot afternoon able nature place maintained well pay,,,,,,,,,,
beddagana wetland park,colombo,2 days ago,beautiful place good couples photo shoots also students learn lot things kind places,,,,,,,,,,
beddagana wetland park,colombo,8 months ago,decent place take learn birds butterflies dragonflies nice place spend hour walk around best time go early,,,,,,,,,,
beddagana wetland park,colombo,8 months ago,calm nice place walk tickets open,,,,,,,,,,
beddagana wetland park,colombo,4 months ago,one beautiful park near motte calm peaceful small animals sounds,,,,,,,,,,
beddagana wetland park,colombo,9 months ago,get bus walking distance wide parking area like hiding natural watching area beautiful scenery restrictions u watch independently visiting place,,,,,,,,,,
beddagana wetland park,colombo,2 months ago,place best place spend time nature colombo city limits big car parking available best place,,,,,,,,,,
